continet,country,code,latitude,longitude,total 2018,total 2017,total 2016,total 2015
North America,"Virgin Islands, British",VGB,18.50988413,-64.50286319,16,15,3,1
Asia,Azerbaijan,AZE,40.29014448,47.54488431,15,5,1,1
Asia,Laos,LAO,18.50230156,103.7378721,15,10,1,0
Oceania,New Caledonia,NCL,-21.29303021,165.6714209,15,12,3,1
North America,Nicaragua,NIC,12.8453926,-85.03333842,15,10,3,1
North America,Greenland,GRL,74.73599062,-41.34573937,14,12,2,1
Europe,Liechtenstein,LIE,47.14121018,9.539354341,14,13,3,0
Oceania,Papua New Guinea,PNG,-6.470120499,145.2315238,14,13,7,5
Seven seas open ocean,Seychelles,SYC,-6.590975481,51.88131418,14,8,3,1
Africa,Ethiopia,ETH,8.622487783,39.60016375,13,11,7,5
Africa,Malawi,MWI,-13.53009523,34.25149073,13,14,11,7
Europe,Moldova,MDA,47.1909144,28.45606572,13,6,2,0
South America,Martinique,#N/A,14.633722,-60.987671,12,7,6,6
Africa,Tunisia,TUN,34.12110678,9.55481426,12,7,2,1
Europe,Montenegro,MNE,42.78204493,19.25002073,11,7,1,1
Europe,Andorra,AND,42.54226031,1.560092339,10,8,4,0
Asia,Armenia,ARM,40.2908052,44.92953307,10,5,1,0
North America,Belize,BLZ,17.20831869,-88.69388853,10,6,2,1
South America,Guadeloupe,#N/A,16.252201,-61.515436,10,9,4,0
South America,Guyana,GUY,4.793462005,-58.98011469,10,5,1,1
Seven seas open ocean,Maldives,MDV,3.682262044,73.33032797,10,4,0,0
Oceania,Vanuatu,VUT,-16.20126792,167.7008441,10,9,2,1
Asia,Afghanistan,AFG,33.83831409,66.01436717,9,8,4,1
Oceania,Guam,GUM,13.44379302,144.7719391,9,6,1,1
Africa,Senegal,SEN,14.3677886,-14.47130606,9,8,5,1
Africa,Angola,AGO,-12.29231564,17.53698497,8,7,1,0
Asia,Mongolia,MNG,46.82537526,103.0507558,8,3,0,0
Asia,Nepal,NPL,28.24802407,83.91619721,8,5,4,1
North America,Saint Lucia,LCA,13.90267055,-60.97031653,8,4,0,0
Europe,Aland Islands,ALA,60.18644725,20.05558282,7,3,0,0
North America,Aruba,ABW,12.51693527,-69.97420075,7,3,0,0
South America,Falkland Islands Malvinas,FLK,-51.73330728,-59.37610281,7,3,2,2
North America,Grenada,GRD,12.1533724,-61.65668238,7,5,5,3
Asia,Iraq,IRQ,33.04655761,43.73893466,7,1,1,0
Asia,Kyrgyzstan,KGZ,41.45899623,74.52514326,7,3,1,0
Africa,Swaziland,SWZ,-26.56191435,31.4800241,7,5,3,2
Africa,Algeria,DZA,28.14950142,2.65253416,6,6,1,0
North America,Curacao,CUW,12.19382109,-68.97130561,6,6,1,0
Asia,Iran,IRN,32.56863611,54.27909053,6,5,4,3
Oceania,Cook Islands,COK,-19.81498093,-158.7911043,5,3,1,1
Oceania,Northern Mariana Islands,MNP,16.25085976,145.599955,5,3,0,0
Asia,Timor-Leste,TLS,-8.823778548,125.8510758,5,2,1,0
North America,Turks and Caicos Islands,TCA,21.78004538,-71.8733066,5,3,1,0
Africa,Cameroon,CMR,5.686603487,12.73553796,4,3,3,1
Africa,Congo,COD,-2.860728919,23.59158337,4,1,0,0
North America,Dominica,DMA,15.43644049,-61.35691759,4,1,1,0
Europe,Holy See Vatican City State,VAT,41.90335536,12.45345184,4,0,0,0
Africa,Liberia,LBR,6.452232555,-9.319863993,4,0,0,0
Africa,Madagascar,MDG,-19.37316753,46.70599831,4,4,1,0
Africa,Rwanda,RWA,-1.991117947,29.95179206,4,5,2,1
North America,Saint Barthelemy,BLM,17.90558452,-62.83261962,4,3,0,0
Antarctica,Antarctica,ATA,-80.50821937,19.90839921,3,1,0,0
Africa,Benin,BEN,9.64121677,2.328740746,3,1,0,0
South America,"Bonaire, Saint Eustatius and Saba",#N/A,12.178,-68.2385,3,4,1,0
Africa,Cape Verde,CPV,15.93614024,-23.96723977,3,1,0,0
Africa,Gabon,GAB,-0.5916559169,11.78956926,3,2,0,0
Africa,Gambia,GMB,13.44972956,-15.39758203,3,3,2,2
Africa,Ivory Coast,CIV,7.627966522,-5.569000178,3,0,0,0
Oceania,Kiribati,KIR,0.6152008738,-51.52483396,3,2,1,1
Africa,Mauritania,MRT,20.25691335,-10.343013,3,1,0,0
Oceania,Norfolk Island,NFK,-29.0349751,167.9551693,3,4,0,0
North America,Saint Vincent and the Grenadines,VCT,13.21621592,-61.20335327,3,1,1,1
Oceania,Solomon Islands,SLB,-8.909583205,159.6380945,3,3,1,0
Africa,Somalia,SOM,4.74883682,45.70614439,3,0,0,0
Asia,Tajikistan,TJK,38.5269889,71.01282833,3,3,0,0
Asia,Uzbekistan,UZB,41.70410592,63.21709475,3,2,0,0
Asia,Bhutan,BTN,27.42248024,90.40391185,2,1,1,1
Africa,Burkina Faso,BFA,12.26955391,-1.755527664,2,1,0,0
Seven seas open ocean,Cocos Keeling Islands,#N/A,96.83185,-11.995039,2,1,1,0
Africa,Djibouti,DJI,11.75363947,42.57107031,2,2,0,0
North America,Haiti,HTI,18.94006815,-72.69394632,2,2,0,0
Africa,Lesotho,LSO,-29.57973044,28.22862293,2,1,1,1
Asia,Palestinian Territory,PSE,31.91889613,35.19368314,2,1,0,0
Seven seas open ocean,Saint Helena,SHN,-24.91135024,-10.13841784,2,0,0,0
Oceania,Samoa,WSM,-13.75459565,-172.1612493,2,3,4,4
North America,Sint Maarten,SXM,18.04062935,-63.07013103,2,0,0,0
Africa,Sudan,SDN,15.98331641,29.94176703,2,2,1,1
Oceania,Tonga,TON,-20.06655974,-174.8685123,2,1,0,0
Africa,Burundi,BDI,-3.307136012,29.91714635,1,0,0,0
Africa,Comoros,COM,-11.88421621,43.68016319,1,0,0,0
Africa,Congo,COG,-0.8388799891,15.21833616,1,1,0,0
North America,Cuba,CUB,21.62529805,-79.03521174,1,0,0,0
Africa,Eritrea,ERI,15.35633327,38.85244952,1,1,1,1
Africa,Mali,MLI,17.3430679,-3.539461429,1,3,1,1
Oceania,"Micronesia, Federated States of",FSM,6.967281079,155.2606335,1,1,0,0
North America,Montserrat,MSR,16.73752357,-62.18739878,1,0,0,0
Oceania,Nauru,NRU,-0.5207828848,166.9331319,1,0,0,0
Africa,Niger,NER,17.41882794,9.386547717,1,0,0,0
Oceania,Niue,NIU,-19.04891976,-169.869346,1,0,0,0
Oceania,Palau,PLW,7.17335428,134.3380221,1,1,0,0
Oceania,Pitcairn,PCN,-24.41276998,-128.4792671,1,1,0,0
North America,Saint Martin French part,MAF,18.0776203,-63.05507149,1,1,0,0
Africa,Sierra Leone,SLE,8.563085843,-11.79501558,1,0,0,0
Africa,South Sudan,SSD,7.283530708,30.30111961,1,0,0,0
South America,Suriname,SUR,4.131244982,-55.91107136,1,1,0,0
Asia,Syrian Arab Republic,SYR,35.01794641,38.50091047,1,0,0,0
Africa,Togo,TGO,8.526788089,0.9622716266,1,1,0,0
Oceania,Tuvalu,TUV,-7.759069096,178.5203532,1,1,0,0
Asia,Yemen,YEM,15.90035287,47.58787727,1,0,0,0
